ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
105,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:34:45,2024-September-02 18:34:54,0,0,0,50,0,0,2.773784876,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
104,gpt-4,hyperloop_specifications,2024-September-02 18:34:40,2024-September-02 18:35:14,27.058103323,3.141210079,30.199314356,50,531,2417,3.15127492,100.0%,false,None,
106,gemini-1.5-flash,advancements,2024-September-02 18:35:17,2024-September-02 18:35:36,11.854098082,2.941129684,14.79522872,49,626,5919,2.45478344,100.0%,false,None,
106,gpt-4,hyperloop_specifications,2024-September-02 18:35:17,2024-September-02 18:35:44,21.045053959,2.867726564,23.912781477,50,531,1768,2.823073864,100.0%,false,None,
107,gemini-1.5-flash,advancements,2024-September-02 18:35:39,2024-September-02 18:35:50,0,0,0,49,0,0,2.351414204,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
108,gemini-1.5-flash,advancements,2024-September-02 18:35:53,2024-September-02 18:36:06,0,0,0,49,0,0,2.488665342,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
109,gemini-1.5-flash,advancements,2024-September-02 18:36:09,2024-September-02 18:36:21,0,0,0,49,0,0,2.60187149,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
107,gpt-4,hyperloop_specifications,2024-September-02 18:35:47,2024-September-02 18:36:23,29.770576239,2.740592003,32.511169434,52,531,2899,3.078405142,100.0%,false,None,
110,gemini-1.5-flash,advancements,2024-September-02 18:36:23,2024-September-02 18:36:38,0,0,0,49,0,0,2.439393282,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
110,gpt-4,hyperloop_specifications,2024-September-02 18:36:26,2024-September-02 18:36:59,25.943236828,2.71275568,28.655993938,50,531,2275,3.023576975,100.0%,false,None,
111,gpt-4,hyperloop_specifications,2024-September-02 18:37:01,2024-September-02 18:37:39,30.819716454,3.024365664,33.844082832,50,531,3796,3.208286285,100.0%,false,None,
112,gpt-4,advancements,2024-September-02 18:37:58,2024-September-02 18:38:50,0,0,0,49,0,0,2.590343475,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
113,gpt-4,advancements,2024-September-02 18:38:52,2024-September-02 18:39:40,0,0,0,49,0,0,2.701245546,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
114,gpt-4,advancements,2024-September-02 18:39:43,2024-September-02 18:39:52,0,0,0,49,0,0,2.594668627,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
115,gpt-4,advancements,2024-September-02 18:39:55,2024-September-02 18:40:02,0,0,0,49,0,0,2.498907804,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
116,gpt-4,advancements,2024-September-02 18:40:04,2024-September-02 18:40:09,0,0,0,49,0,0,2.564217091,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
117,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:41:02,2024-September-02 18:41:19,0,0,0,50,0,0,3.059983969,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
118,gpt-4,hyperloop_specifications,2024-September-02 18:41:50,2024-September-02 18:42:57,59.723201036,2.864748478,62.58795023,115,532,4774,3.024755955,100.0%,false,None,
119,mistral-small,hyperloop_specifications,2024-September-02 18:46:05,2024-September-02 18:46:20,0,0,0,115,0,0,3.26240778,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
120,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:46:40,2024-September-02 18:46:51,0,0,0,115,0,0,2.815708876,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
121,gpt-3.5-turbo,advancements,2024-September-02 18:47:11,2024-September-02 18:47:43,0,0,0,49,0,0,2.622199297,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
122,gpt-4,advancements,2024-September-02 18:48:14,2024-September-02 18:48:26,0,0,0,49,0,0,2.470549583,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
123,mistral-small,advancements,2024-September-02 18:49:02,2024-September-02 18:49:18,0,0,0,49,0,0,2.781753063,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
124,gemini-1.5-flash,advancements,2024-September-02 18:49:27,2024-September-02 18:49:48,0,0,0,49,0,0,2.715015411,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
