ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
64,gemini-1.5-flash,2024-September-02 10:56:27,2024-September-02 10:56:31,0.9131813049,2.820146561,3.733329296,10,565,123,0,1.076004028,100.0%,false,None,
65,gemini-1.5-flash,2024-September-02 10:56:35,2024-September-02 10:56:36,0,0,0,10,0,0,0,0.8532783985,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
64,gpt-4,2024-September-02 10:56:31,2024-September-02 10:56:39,4.67967248,2.787734509,7.46740818,10,565,127,0,1.118851423,100.0%,false,None,
66,gemini-1.5-flash,2024-September-02 10:56:41,2024-September-02 10:56:47,3.042632103,2.932489872,5.975123405,10,565,123,0,1.008908272,100.0%,false,None,
67,gemini-1.5-flash,2024-September-02 10:56:51,2024-September-02 10:56:55,1.171096563,2.790849209,3.961946726,10,565,123,0,1.117390633,100.0%,false,None,
68,gemini-1.5-flash,2024-September-02 10:57:00,2024-September-02 10:57:04,1.112732172,2.744008541,3.856741428,10,565,123,0,1.123951674,100.0%,false,None,
69,gemini-1.5-flash,2024-September-02 10:57:09,2024-September-02 10:57:13,1.12263298,2.796093464,3.918727398,10,565,123,0,1.064522743,100.0%,false,None,
70,gemini-1.5-flash,2024-September-02 10:57:17,2024-September-02 10:57:18,0,0,0,10,0,0,0,1.146668196,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
71,gpt-4,2024-September-02 11:32:50,2024-September-02 11:32:59,6.140241146,3.274003983,9.414246321,10,565,121,0,1.419101477,100.0%,false,None,
72,gpt-4,2024-September-02 11:33:05,2024-September-02 11:33:17,0,0,0,10,0,0,0,1.343533039,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
73,gpt-3.5-turbo,2024-September-02 11:34:14,2024-September-02 11:34:20,2.487375021,3.392007589,5.879383564,20,570,221,0,1.44618988,100.0%,false,None,
74,gpt-3.5-turbo,2024-September-02 11:34:25,2024-September-02 11:34:30,2.254820108,3.180881739,5.435702801,20,570,235,0,1.074242353,100.0%,false,None,
75,gpt-3.5-turbo,2024-September-02 11:34:35,2024-September-02 11:34:41,2.528831482,3.022854328,5.551686764,20,570,217,0,1.127076626,100.0%,false,None,
76,gpt-3.5-turbo,2024-September-02 11:34:46,2024-September-02 11:34:51,2.437306404,2.895277977,5.332585573,20,570,219,0,1.179024458,100.0%,false,None,
77,gpt-3.5-turbo,2024-September-02 11:34:56,2024-September-02 11:35:01,2.214232683,2.855090857,5.069324255,20,570,216,0,1.158632994,100.0%,false,None,
78,gpt-3.5-turbo,2024-September-02 11:35:06,2024-September-02 11:35:32,22.551696062,3.088980675,25.640677452,20,570,224,0,1.161610126,100.0%,false,None,
79,gpt-3.5-turbo,2024-September-02 11:35:36,2024-September-02 11:35:43,3.14806962,2.958273172,6.106343508,20,570,222,0,1.210813522,100.0%,false,None,
80,gpt-3.5-turbo,2024-September-02 11:35:47,2024-September-02 11:36:13,22.465321064,2.929712534,25.39503479,20,570,226,0,1.481784582,100.0%,false,None,
81,gpt-3.5-turbo,2024-September-02 11:36:18,2024-September-02 11:36:23,2.359533072,2.861402035,5.220935822,20,570,223,0,1.232759237,100.0%,false,None,
82,gpt-3.5-turbo,2024-September-02 11:36:28,2024-September-02 11:36:54,22.482156038,3.006081581,25.488238096,20,570,217,0,1.162580729,100.0%,false,None,
83,gpt-4,2024-September-02 11:38:56,2024-September-02 11:39:07,8.268773079,3.201630592,11.470404387,20,570,214,0,1.249677896,100.0%,false,None,
84,gpt-4,2024-September-02 11:39:12,2024-September-02 11:39:26,10.442015409,2.877631426,13.319648266,20,570,215,0,1.192160845,100.0%,false,None,
85,gpt-4,2024-September-02 11:39:30,2024-September-02 11:39:42,8.347359419,3.071891785,11.419253349,20,570,216,0,1.227504253,100.0%,false,None,
86,gpt-4,2024-September-02 11:39:47,2024-September-02 11:39:57,7.542450666,3.202116966,10.744568825,20,570,221,0,1.245383024,100.0%,false,None,
87,gpt-4,2024-September-02 11:40:02,2024-September-02 11:40:15,9.881847858,2.935413122,12.817261696,20,570,218,0,1.086216927,100.0%,false,None,
88,gpt-4,2024-September-02 11:40:20,2024-September-02 11:40:30,6.855186939,2.900238991,9.755427122,20,570,215,0,1.19397378,100.0%,false,None,
89,gpt-4,2024-September-02 11:40:35,2024-September-02 11:40:47,8.857815981,3.20246172,12.060278654,20,570,217,0,1.246642828,100.0%,false,None,
90,gpt-4,2024-September-02 11:40:52,2024-September-02 11:41:03,8.394649506,2.948044062,11.342694998,20,570,236,0,1.148715496,100.0%,false,None,
91,gpt-4,2024-September-02 11:41:08,2024-September-02 11:41:21,9.781839848,2.943892002,12.725733757,20,570,235,0,1.080219507,100.0%,false,None,
92,gpt-4,2024-September-02 11:41:26,2024-September-02 11:41:37,8.210804701,2.843493223,11.054299116,20,570,236,0,1.229589701,100.0%,false,None,
93,mistral-small,2024-September-02 11:54:14,2024-September-02 11:54:19,1.999019623,3.030916691,5.029937029,20,570,200,0,1.481681585,100.0%,false,None,
94,mistral-small,2024-September-02 11:54:24,2024-September-02 11:54:29,2.020533562,2.909281969,4.929816961,20,570,191,0,1.536523342,100.0%,false,None,
95,mistral-small,2024-September-02 11:54:35,2024-September-02 11:54:37,0,0,0,20,0,0,0,1.382276058,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
96,mistral-small,2024-September-02 11:54:42,2024-September-02 11:54:47,1.892054081,2.941482782,4.833538055,20,570,190,0,1.350633383,100.0%,false,None,
97,mistral-small,2024-September-02 11:54:52,2024-September-02 11:54:57,2.084891796,2.762470245,4.847362995,20,570,203,0,1.188642263,100.0%,false,None,
98,mistral-small,2024-September-02 11:55:02,2024-September-02 11:55:07,2.045256376,2.896365404,4.941622972,20,570,203,0,1.226810217,100.0%,false,None,
99,mistral-small,2024-September-02 11:55:11,2024-September-02 11:55:14,0,0,0,20,0,0,0,1.093875647,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
100,mistral-small,2024-September-02 11:55:18,2024-September-02 11:55:23,1.998178959,2.801026583,4.799206734,20,570,201,0,1.253958225,100.0%,false,None,
101,mistral-small,2024-September-02 11:55:28,2024-September-02 11:55:34,3.00241065,2.853343964,5.855755568,20,570,195,0,1.275728941,100.0%,false,None,
102,mistral-small,2024-September-02 11:55:39,2024-September-02 11:55:44,2.348484278,2.686968803,5.035454273,20,570,190,0,1.116148472,100.0%,false,None,
