ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS
122,mistral-small,hyperloop_specifications,2024-September-02 18:30:45,2024-September-02 18:30:58,0,0,0,20,0,0,3.285056353,0
132,mistral-small,advancements,2024-September-02 18:32:27,2024-September-02 18:32:41,0,0,0,20,0,0,2.811862707,0
133,mistral-small,advancements,2024-September-02 18:32:44,2024-September-02 18:32:48,0,0,0,20,0,0,2.385552406,0
134,gpt-3.5-turbo,advancements,2024-September-02 18:32:46,2024-September-02 18:33:01,0,0,0,20,0,0,2.465412855,0
135,mistral-small,advancements,2024-September-02 18:32:50,2024-September-02 18:33:02,0,0,0,20,0,0,2.403362989,0
136,mistral-small,advancements,2024-September-02 18:33:05,2024-September-02 18:33:15,0,0,0,20,0,0,2.682160139,0
137,gpt-3.5-turbo,advancements,2024-September-02 18:33:03,2024-September-02 18:33:22,0,0,0,20,0,0,2.370497227,0
138,mistral-small,advancements,2024-September-02 18:33:18,2024-September-02 18:33:31,0,0,0,20,0,0,2.585899115,0
139,gpt-3.5-turbo,advancements,2024-September-02 18:33:25,2024-September-02 18:33:42,0,0,0,20,0,0,2.430037737,0
140,gpt-3.5-turbo,advancements,2024-September-02 18:33:45,2024-September-02 18:33:58,0,0,0,20,0,0,2.408323288,0
143,gpt-3.5-turbo,advancements,2024-September-02 18:34:01,2024-September-02 18:34:21,0,0,0,20,0,0,2.336378336,0
