ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
127,gpt-3.5-turbo,2024-September-02 08:30:45,2024-September-02 08:30:54,4.491943598,2.862921476,8.295805216,50,50,1009,675,866,100.0%,false,None,
128,gpt-3.5-turbo,2024-September-02 08:30:59,2024-September-02 08:31:11,7.769833565,2.953017473,11.670616388,50,50,1009,829,866,100.0%,false,None,
129,gpt-3.5-turbo,2024-September-02 08:31:21,2024-September-02 08:31:29,4.577503681,2.780570984,8.246036291,50,50,1001,670,866,100.0%,false,None,
130,gpt-3.5-turbo,2024-September-02 08:31:46,2024-September-02 08:31:55,5.193130493,2.800333977,8.968430519,50,50,1004,670,866,100.0%,false,None,
131,gpt-3.5-turbo,2024-September-02 08:32:03,2024-September-02 08:32:13,5.414247274,3.058634043,9.366123915,50,50,1004,670,866,100.0%,false,None,
132,gpt-4,2024-September-02 08:32:42,2024-September-02 08:33:05,19.309324503,3.138126135,23.315536022,50,50,1004,670,866,100.0%,false,None,
133,gpt-4,2024-September-02 08:33:20,2024-September-02 08:33:45,21.363932371,3.146871805,25.403204203,50,50,1007,673,866,100.0%,false,None,
134,gpt-4,2024-September-02 08:33:51,2024-September-02 08:34:20,24.720479488,3.279480457,28.834870815,50,50,1007,772,866,100.0%,false,None,
135,gpt-4,2024-September-02 08:34:35,2024-September-02 08:35:12,32.185124397,3.107918262,36.18119216,50,50,1002,1038,866,100.0%,false,None,
136,gpt-4,2024-September-02 08:35:34,2024-September-02 08:36:23,45.64492774,3.216154337,49.702254057,50,50,1006,2156,866,100.0%,false,None,
137,gpt-4,2024-September-02 08:36:40,2024-September-02 08:37:27,42.751227379,2.886737823,46.588387251,50,50,996,2762,866,100.0%,false,None,
138,gpt-4,2024-September-02 08:37:38,2024-September-02 08:38:01,19.752746344,2.811715364,23.474808216,50,50,1007,673,866,100.0%,false,None,
139,gpt-4,2024-September-02 08:38:43,2024-September-02 08:39:08,21.149424076,3.262568951,25.330156088,50,50,1007,673,866,100.0%,false,None,
140,gpt-4,2024-September-02 08:39:13,2024-September-02 08:39:46,29.488090515,2.886870384,33.238889694,50,50,1007,828,866,100.0%,false,None,
141,gpt-4,2024-September-02 08:40:23,2024-September-02 08:40:48,20.61879468,3.401599407,24.917697191,50,50,1007,673,866,100.0%,false,None,
142,mistral-small,2024-September-02 08:41:02,2024-September-02 08:41:12,5.420966148,3.033652782,9.431624889,50,50,1365,581,866,100.0%,false,None,
143,mistral-small,2024-September-02 08:41:22,2024-September-02 08:41:32,5.914387226,3.191523552,9.967412949,50,50,1363,590,866,100.0%,false,None,
144,mistral-small,2024-September-02 08:41:38,2024-September-02 08:41:45,0,0,7.199385881,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
145,mistral-small,2024-September-02 08:41:58,2024-September-02 08:42:12,10.299039841,2.885404587,14.0452075,50,50,1367,1059,968,100.0%,false,None,
146,mistral-small,2024-September-02 08:42:20,2024-September-02 08:42:28,0,0,7.781687021,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
147,mistral-small,2024-September-02 08:42:36,2024-September-02 08:42:43,0,0,6.456796169,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
